artistName,id,genres
Modern Color,6bayHl2VHbIseMg1jby37l,"american shoegaze, dreamo, indie punk"
Danger Incorporated,6bnlvICBjK7fuNSB1ohqS5,"dark trap, emo rap, underground hip hop"
Hot Flash Heat Wave,33LSz2nhC8pCPTb3pd5add,"indie garage rock, indie pop, indie surf, surf punk"
From Indian Lakes,3YvQkjWJ5ykJVUNP7YbTy9,"dreamo, indie rock, progressive post-hardcore"
Bedroom,7COP1HCvVq1cIpZcLQYoNe,small room
the cabs,5PalnqYJTpnO5wt00jf0um,"japanese emo, japanese math rock"
Loser,1yPW5OZnLR9GlhQfBCMtos,"emo rap, sad rap"
Yameii Online,141ww9EOPLPetF8mMt1gKF,glitchcore
источник,0RNBJmKvby1OTsxA1tobZi,"russian alt pop, russian emo, russian hip hop, russian indie, russian indie rock"
Sleep in.,7k5pDjVawZrHGmRPPR29vO,anthem emo
Driveways,4OuSiJSnuRsK0dTM0dtm1R,"anthem emo, pop punk"
Coma Cinema,4Ebry32YXxGXbI8FqhhSFu,"anti-folk, indie dream pop, indie garage rock, lo-fi indie, north carolina indie"
The Color 8,4rqs8Dn1h2Fhibmvsx9TPF,phoenix indie
Lorn,6vXYoy8ouRVib302zxaxFF,"blackened deathcore, symphonic deathcore"
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,"electro, filter house"
Yung Gravy,2YOYua8FpudSEiB9s88IgQ,"meme rap, minnesota hip hop, pop rap"
Flowars,4A5DfoGlyN07pEAXbiEET0,emo rap
William Bonney,470A3vpLSY6yk2AVN4GB9l,"alternative emo, emo, midwest emo, screamo, skramz"
atlas,395RUhnuJcbFdgp6nYZsih,lo-fi rap
BONES,5v2WhpA59TJSdPh7LCx1lN,"dark trap, underground hip hop"
Field Medic,4wMfqR1EZagrSlYndItxGQ,"bubblegrunge, indie pop, lo-fi indie, small room"
Aries,3hOdow4ZPmrby7Q1wfPLEy,"emo rap, pop rap, sad rap"
MASN,4HAfqyKr4Sqtab6ttHWXgE,"emo rap, lo-fi chill, pop rap, sad lo-fi, sad rap"
Freddie Dredd,0dlDsD7y6ccmDm8tuWCU6F,"aesthetic rap, meme rap, phonk, underground hip hop"
Triple One,686zrKch7tQIpoOpdSIpTo,"australian hip hop, australian trap, australian underground hip hop, dark trap, emo rap"
convolk,3ddT1Q3KQAm1G7UcIfz5KJ,"dark trap, emo rap, melodic rap, pop rap, sad lo-fi, sad rap"
Ghostemane,3uL4UpqShC4p2x1dJutoRW,"dark trap, florida rap, underground hip hop"
salvia palth,0pg0Zm8FsGAYy5kdHuBnSo,"indie pop, lo-fi emo, lo-fi indie, slowcore, small room"
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,"dmv rap, hip hop, pop, r&b, rap"
cxltgod,2i62qLXvdikq0heaZFIBZ5,
guccihighwaters,7EIOmfcBRSR63ZaUptkD09,"emo rap, sad lo-fi, sad rap"
Foreign Forest,7C4ztJMkuGRy0qkU6dG5hU,"emo rap, sad lo-fi, sad rap"
Wu-Tang Clan,34EP7KEpOjXcM2TCat1ISk,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
Dead Robot,5Xgb8LDaSdo3vsDqJ7eBJv,
Tiny Moving Parts,5rJVTTK0ucAxQhkUc0nXbH,"alternative emo, anthem emo, dreamo, emo, midwest emo"
Kaito Shoma,3Tv1UzQAvn0v0hKTxisXnR,drift phonk
IC3PEAK,3luonLzvSOxdU8ytCaEIK8,"russian witch house, witch house"
Ripe,19lQ2rJLlP71FOKESiMNJT,boston indie
SpaceMan Zack,53dPePMlci6GqJXISlntSK,"dark trap, emo rap, sad lo-fi, sad rap"
Mickey Darling,3uwUtL5kPSO2mpOhU4SiWz,"indie pop, modern indie pop"
CHYLD,7CCDzcz8u2Cs5c8Az35Gud,boston indie
Beartooth,6vwjIs0tbIiseJMR3pqwiL,"metalcore, post-screamo"
Foxing,2dfxY7YDuYCUtWFzWTS6IR,"alternative emo, bubblegrunge, dreamo, emo, indie rock, stl indie"
Aqua,6kBjAFKyd0he7LiA5GQ3Gz,"bubblegum dance, dance pop, eurodance, europop"
Oshwa,2REf2RGo1EFSUFaRQf8oX2,
Looming,6k5ce5QSZYc12PC2UnN8Wc,
Sleep Token,2n2RSaZqBuUUukhbLlpnE6,prog metal
Route 94,1dgdvbogmctybPrGEcnYf6,"deep groove house, house, pop dance, uk dance"
Twin Shadow,6fLrPFLWLSCrp7gcTZXcKb,"alternative dance, art pop, chillwave, dream pop, electropop, indie rock, indietronica, metropopolis, new rave, shimmer pop"
M83,63MQldklfxkjYDoUE4Tppz,"french shoegaze, french synthpop, indietronica, metropopolis, neo-synthpop"
Panama,3W9UldYu0xJcaOAw2SUTDI,"australian indie, indie poptimism, shimmer pop"
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,"art pop, pop"
Dan Croll,5Rr15NSbi1Xjno1AEP9u21,
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,"alternative rock, funk metal, funk rock, permanent wave, rock"
Incubus,3YcBF2ttyueytpXtEzn1Za,"alternative metal, alternative rock, funk metal, funk rock, nu metal, pop rock, post-grunge, rock"
La Dispute,7lQKE6HaKQcCsgLRMhsh5W,"alternative emo, dreamo, emo, grand rapids indie, progressive post-hardcore"
Darsena,1BeDagLSzc3lMXJm0NSKNV,lo-fi jazzhop
Liphe,371UxxrkcjjvlQUJxDKjfq,lo-fi jazzhop
Hulk Hodn,3rCwiAT9oVk1TRcY8A5x9r,"abstract beats, jazz boom bap"
Living Room,0sLb0ouettR8lDLnEgCSVK,lo-fi jazzhop
Saiko,1ux1cA3N0QiscFolXpfbni,lo-fi jazzhop
DYVN,0txJ9PYLXPk2Ojegw5Ty9X,"focus beats, lo-fi jazzhop"
Khutko,26e6xlrurIqVfo2GzwuSMQ,lo-fi jazzhop
Rigby,11uVEq37dsx0ZCbwxpu9S3,
CHVRCHES,3CjlHNtplJyTf9npxaPl5w,"electropop, indie pop, metropopolis, neo-synthpop, pop rock, shimmer pop"
Into It. Over It.,1ecdmsD235x2zHCKfdL3cF,"alternative emo, anthem emo, bubblegrunge, chicago indie, dreamo, emo, indie punk, indie rock, midwest emo"
Lil Wayne,55Aa2cqylxrFIXC767Z865,"hip hop, new orleans rap, pop rap, rap, trap"
Sonic Sea Turtles,4tWqYfarCaAlRGxVjKygcz,
Lil Darkie,62F9BiUmjqeXbBztCwiX1U,"glitchcore, meme rap, viral rap"
Alan Gogoll,7MOxmVjcx5HWoEu9pBWXT3,tassie indie
Red Handed Denial,51hAPClmrwe6oa8aXLsbq7,post-screamo
Before Today,2YQukFJuRqwu0MJsLzFTey,screamo
百景,6Xktu0x9IXB4ghFSPw6Jqv,"japanese emo, japanese math rock"
a picture of her,6vUn7EgNei8hY7jZSV0lsT,"instrumental math rock, japanese emo, japanese jazz fusion, japanese math rock, japanese post-rock"
Tom's Story,3EFd5mZTaObnwJuZvARO16,"instrumental math rock, pinoy indie, southeast asian post-rock"
Vasudeva,5uvVjg5SwNjvNE4w7HlGJC,"instrumental math rock, math pop"
Tycho,5oOhM2DFWab8XhSdQiITry,"chillwave, downtempo, electronica, indietronica, intelligent dance music"
tide/edit,6GAoXkyadLFOLLkZrHWlOR,"instrumental math rock, pinoy indie, southeast asian post-rock"
il:lo,0Upbj4hHk4d4UJ0HhnVs4F,"chillstep, vapor twitch"
AOUI,26GHRG8x1F4AzbCKzUaIbw,"chamber pop, indie folk, vapor soul"
Jon Hopkins,7yxi31szvlbwvKq9dYOmFI,"ambient, compositional ambient, electronica, intelligent dance music, neo-classical, post-rock"
Elephant Gym,2rqNUPgkBgbhcRabUQ5C9g,"instrumental math rock, southeast asian post-rock, taiwan indie"
Floral,1FVOt1XlpnaCueBolWF92k,"instrumental math rock, math pop, math rock"
Carnage,7CCjtD0hCK005Bvg2WG1a7,"edm, electro house, electronic trap, pop rap"
"Slaughter Beach, Dog",3lWVgSwutPsiJ8Awm7OTKU,"alternative emo, anti-folk, bubblegrunge, emo, indie pop, indie punk, indie rock, lo-fi emo, midwest emo, small room"
Evilmane,7orrlq1wZRXw7Hp62GzzgO,"drift phonk, phonk"
Apoc Krysis,5FWqTrWj74TUJLstHwCDQE,"dark trap, drift phonk, phonk"
Freddy Konfeddy,6U1ycN1LhSAZwAUbhL8LGx,"drift phonk, phonk"
Ghostface Playa,5xegBBY3vjR75woVR9kiy7,drift phonk
RAADFORD,7cSXZaLvpjMdJKkzixTTsV,drift phonk
Blank Stare,5gSlZlsEVkUg3ddTie1Jtm,"drift phonk, phonk"
DEADG6D,1ykVseloW8YDPbDFEfrbha,
Shinigami Tenshi,0bxtJGTaXfnmliU3lOBKGv,"drift phonk, phonk"
Oliver C Beats,4Ms6ibYanUiQmLfBQTL2jn,"drift phonk, phonk"
Eyez Hate U,0dIUq8UqtoJF5T7Lt3MxBT,"drift phonk, phonk"
LXST CXNTURY,4TS37lr3ZraUxBHS727sEp,drift phonk
WEEDMANE,6agBXAcUugzO8DQTChZZrx,drift phonk
Jake OHM,2SlChaWRTYTmJUMjB6PuOX,"drift phonk, phonk"
Trapbonzai,3oyi7eD6U1bKsduFjSfbPw,phonk
Berniemaceleven,7xH8wCj7dXlQJELTbquxtA,drift phonk
HXDVKILLA,5vLPbaufiLh9WqNovWc6ip,drift phonk
Xvnnie Clvus,7aKqhVZW8DGENxayqcM1Gu,drift phonk
IMPERIAL,76BYMatrC95a7MaFSxeU9g,
Night Aka Bloodhail,1W8Lau8dylDSSLEdtn8VkC,
CRYPT1K,5sUt2yrLyvSkknPtJCLu0z,"drift phonk, phonk"
RHODAMINE,5avA6ZpwzVKgkxY1aUGQvW,drift phonk
6 Senz,147cJWfJ6XKAh9T8ohr7Ts,drift phonk
Undagroundmane,51bvJg7iUuE7Vp1Nvo8wNn,drift phonk
UH Prod,6zaFgOyDBqbcaCgeZvSsQ0,rap francais nouvelle vague
LxrdMxrty,2kZfdYwevTt4ohkARKl1Ql,
Undead Ronin,2YCMottDWKQCUucck5bBdv,"dark trap, drift phonk"
Cxxlion,14csbe5LX1J7NfrA3wWyW4,"drift phonk, phonk"
CAT IN DA GLASSES,6rzEE7Ep59JpHUYCW1QiZA,
Pharmacist,6VlPp1wb53ANKMIwZPJfM0,drift phonk
Haarper,3v0QTRruILayLe5VsaYdvk,"aesthetic rap, dark trap, drift phonk"
Oldflop,4Amfk7LcltBp38NTvYcVDS,drift phonk
Gulyabani,4Dk2zVOvCz3hMxMLtdkwh7,turkce trap metal
Slim Guerilla,1Odn7pOeUdEoOZeuox6nql,"phonk, underground hip hop"
Baker Ya Maker,65T6BIrUTcgylCYTXqVxvR,"dark trap, drift phonk, phonk, underground hip hop"
GRXGVR,0Uxe5OQyuew2Mhb6hF76Bk,"phonk, wave"
Cursed,18QNdwQlGhqjEVXUzmPoH8,"drift phonk, phonk"
Ggrim,2PsMVXZifJuhxl5PhBjSsa,
Sinizter,5owshUGXR3vxuTQqfo28Q8,"aesthetic rap, dark trap, drift phonk, russian trap metal, scream rap"
Night Lovell,2y246nnP9pQT0E6v3ZMMOO,"aesthetic rap, canadian hip hop, canadian trap, dark trap, ottawa rap, underground hip hop"
Jak3,4IDYzgTc022bmVwJmrx86L,phonk
Germ,5NTEjLv3GEX1Vx0ITx9Pxe,
Jak3 / Trashman,4IDYzgTc022bmVwJmrx86L,phonk
Catbamboo,2hpFNyTHjshWpZ01B3WB0E,"baton rouge indie, instrumental math rock"
Nito,79GiwayvvpyZVErpH6BLsY,
Beowülf,4owATw6JCMuUxeWdh3eiyg,"lo-fi chill, sad lo-fi, sad rap"
Citizen,7fM0h2CG7zKqKc0jEa1b4R,gymcore
Northlane,3qyg72RGnGdF521zMU02u9,"australian metalcore, deep melodic metalcore, djent, melodic metalcore, metalcore, nu-metalcore, progressive metalcore"
Cottonwood Firing Squad,2bmhdBR4FyCbRIBSFoLTuE,indie garage rock
Sleepdealer,0kVNa1qBak8arcwcUeLu90,"chillhop, lo-fi beats"
Clever Girl,7663vNncj70kCkfsi5eMNf,british math rock
how to count one to ten,0dYghPKO9hdF1xbjEwoILT,"instrumental math rock, japanese math rock, japanese post-rock"
Via Luna,3qu0nHytyZet7JFUe2Afow,"instrumental math rock, midwest emo"
Stage Kids,6PA6cOkr31WIibRMDZXZkU,"instrumental math rock, math pop, math rock"
Cuzco,2Tglaf8nvDzwSQnpSrjLHP,"bedroom pop, dream pop"
toe,1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b, canadian pop, pop"
SLXSH,6J8l7mZh6UILCYlTmlP3yv,
Elijah Ghost,7sq4pPw5fzvD5T9YbOg4w6,"drift phonk, phonk"
Santos Santana,4qd3YiK0hARXWStzGqHRja,dark trap
Christian Davis,2MWxnc0Id6PJjr3i3c62rE,
Kaykillius,0FEeq3OEwxAe1C1v2MQQmO,
wex,6TNhBCROl8UtT191VE96Kt,drift phonk
Skeler,7ks4LdnBvp6HUsmVJiKgsB,"drift phonk, wave"
Mjm,0SwO7SWeDHJijQ3XNS7xEE,"alternative dance, indie rock, indietronica, modern rock, rock"
oskalizator.,2EAiy1PIZyBl2obsuN0nyY,drift phonk
Marvin Gaye,3koiLjNrgRTNbOwViDipeA,"classic soul, funk, indie r&b, motown, northern soul, quiet storm, soul"
"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,"disco, funk, jazz funk, motown, quiet storm, soul"
Glocca Morra,5XU0u7HIexXCAh4CcoqXCA,"alternative emo, bubblegrunge, emo, indie punk, midwest emo, philly indie"
Kevin J Dill,3HVu17IKkNAlPW7T0OBri9,
líue,3xFXCUS8RN65oCwsO4PJRI,weirdcore
Wicca Phase Springs Eternal,70AkqfU43ou9hFxJZTDt7A,"emo rap, underground hip hop"
Late June,5zMJZTfga0uJURmLLymnoh,"vapor soul, vapor twitch"
Whale Fall,50cAzOpAwtIa0UcNMbjzUZ,instrumental post-rock
PUP,6A7uqgC2N1nUhrCLAytHxN,"alternative emo, bubblegrunge, canadian indie, canadian pop punk, canadian punk, emo, indie punk, modern rock, toronto indie"
Strawberry Girls,4CyxMgnF71FyOWADVWxJRE,progressive post-hardcore
Andrés,49Z1AvGeUaBSanPaOmplK6,"colombian pop, latin, latin pop, tropical"
Fever the Ghost,02Bl8I5jXlMRfDSL5swBOm,electronic rock
Jakub Zytecki,43EA0mCA9Iiw33kdPtMa1q,"djent, instrumental rock, one-person band"
Macseal,1b1pwTnc2DJVXGy8pniShT,"alternative emo, diy emo, emo, long island punk, midwest emo, small room"
Worst Party Ever,2bLENLdxlsq2xbvzMa1SUG,"5th wave emo, alternative emo, bubblegrunge, diy emo, dreamo, emo, lo-fi emo, midwest emo, small room"
Seneca B,31q0UDtgTobClaGczO3KBk,lo-fi beats
Bella Ruby,1ll1c6sQH6OPgHU2E0QEzK,
Colliding With Mars,2K7iE9Z2ySIBKsG8UnG8PR,"lo-fi rap, sad lo-fi"
Jinsang,5FsfZj0Mp6YwEWytuJUcWt,"chillhop, japanese chillhop, korean r&b, lo-fi beats"
SwuM,2Fc1UZXKRmPpWWx1sxcb9m,"chillhop, lo-fi beats, phonk"
santpoort,7KtVS0f2RQoEhjxDcSGBtJ,"chillhop, lo-fi beats"
SamTRax,7oGdaJSr8Hz4w6DDPCBiW2,alternative r&b
Nohidea,5b0XQwyoJBFd3MwL2YxEPO,"chillhop, lo-fi beats, lo-fi chill, lo-fi rap, sad lo-fi"
Arbour,3pSfwb3p6BVPTYDkNdgxS2,"chillhop, lo-fi beats"
eevee,4pwqNyMSvuv7VOhQBdjB6Q,"chillhop, japanese chillhop, lo-fi beats"
fantompower,6psQOFgr41pQ2CiL2CCi47,"chillhop, lo-fi beats"
Nathan Kawanishi,2Jo4Zz3YTkRH5hq65BFMqe,
HM Surf,6TeBxtluBMQixZcKkJ3ZrB,lo-fi beats
mt. fujitive,2V9zpugQCHRiu2lPjsUM6d,"chillhop, lo-fi beats"
Teebs,2L2unNFaPbDxjg3NqzpqhJ,"chillwave, electronica, uk bass, wonky"
Vienna,7bNTxzrU2AIdzkf7pK0Jgy,lo-fi jazzhop
Karavelo,1urkG0cqnV7Jjhdv4O9D3f,lo-fi beats
Sitting Duck,7nlZWVZ0U8EVad0g71xiZt,lo-fi beats
Robin Slap,65bnWo5d8B3pl5DfAeIVtW,
vibe academy,1QIlKfgGmOpQRigjy2CyPN,"lo-fi jazzhop, study beats"
TABAL,3xGCm4ewXGKJFwrrwummsJ,lo-fi beats
Bertholet,2igm2vmbeYibaElfyvj9XQ,"focus beats, lo-fi beats"
Manamera,7ar7lfJxKo3iW5YNXzrLJz,chill beats
Plusma,1BrPtX4urPftXEDWrVTdRH,"chillhop, jazz boom bap, lo-fi beats"
Made in M,5schXx0Ys4N52iU7On2j4c,"chillhop, lo-fi beats"
byJ.,6d8kCkHhKJdEIANjafcD17,
Oxford Remedy,5xNQx5pcQeO8Xka3E3LJhq,kc indie
Look Mexico,1O4nL8naeYVok32DYUpCva,"austindie, emo, emo punk, midwest emo"
Glowbug,2ijQG5EVLSHnfXmqfYMUlv,
Clarence Clarity,25u5QFxy3HVQsbcbxHOP62,"art pop, escape room, experimental r&b, hyperpop"
Bilmuri,5Rc75vGFBWZPgL7EXb4k89,"pop punk, progressive post-hardcore"
Harley Poe,6lqmbDjxe5rhvXIyfNl23o,"acoustic punk, anti-folk, folk punk, steampunk"
John Floreani,6melTVZFYp3m5UU72sIhdY,
Mat Kerekes,5rOjuB5uYAoDMHgZM6CFBB,"alternative emo, anthem emo, dreamo, emo, pop punk"
ROLE MODEL,1dy5WNgIKQU6ezkpZs4y8z,"alt z, bedroom pop, indie pop, pop"
